"title","rate","cuisine","location","address","street","price_from","price_till","url"
"Momo Paradise",4.73,"Jepang","Kelapa Gading","Mal Kelapa Gading 5, Lantai Ground","Jl. Kelapa Gading Boulevard, Kelapa Gading, Jakarta Utara",200000,,"https://pergikuliner.com/restaurants/jakarta/momo-paradise-kelapa-gading"
"Caspar",4.55,"Spanyol","Sudirman","Sudirman Suites Apartment Jakarta, Lantai Ground","Jl. Jenderal Sudirman, Sudirman, Jakarta Pusat",200000,,"https://pergikuliner.com/restaurants/jakarta/caspar-sudirman"
"Isshin",4.46,"Jepang","Slipi","Central Park, Lantai Lower Ground","Jl. Letjen S. Parman, Slipi, Jakarta Barat",100000,200000,"https://pergikuliner.com/restaurants/jakarta/isshin-slipi"
"Furusato Izakaya",4.45,"Jepang","Sudirman","Sudirman Suites Apartment Jakarta, Lantai Ground","Jl. Jenderal Sudirman, Sudirman, Jakarta Pusat",200000,,"https://pergikuliner.com/restaurants/jakarta/furusato-izakaya-sudirman"
"Zibaa",4.5,"Barat, India, Arab/Timur Tengah, Indonesia","Gading Serpong","Ruko North Goldfinch, No. 51 - 52","Jl. Springs Boulevard, Gading Serpong, Serpong, Tangerang",100000,200000,"https://pergikuliner.com/restaurants/tangerang/zibaa-gading-serpong"
"Jenderal Kopi Nusantara Buwas",4.42,"Kafe","Riau",,"Jl. LLRE Martadinata No. 219, Riau, Bandung",100000,200000,"https://pergikuliner.com/restaurants/bandung/jenderal-kopi-nusantara-buwas-riau"
"The Social Pot",4.42,"Jepang, Thailand","Karet Kuningan","Lotte Shopping Avenue, Lantai 3","Jl. Prof Dr Satrio, Karet Kuningan, Setiabudi, Jakarta Selatan",100000,200000,"https://pergikuliner.com/restaurants/jakarta/the-social-pot-karet-kuningan"
"Fukumaru",4.45,"Jepang","Kelapa Gading",,"Jl. Raya Pegangsaan Dua No. 23C, Kelapa Gading, Jakarta Utara",50000,100000,"https://pergikuliner.com/restaurants/jakarta/fukumaru-kelapa-gading"
"Osteria Gia",4.4,"Italia","SCBD","Pacific Place Mall, Lantai Ground, East Lobby","Jl. Jenderal Sudirman, SCBD, Kebayoran Baru, Jakarta Selatan",200000,,"https://pergikuliner.com/restaurants/jakarta/osteria-gia-scbd"
"The Social Pot",4.44,"Jepang, Thailand","Pondok Indah","Pondok Indah Mall 1, Lantai 2","Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan",100000,200000,"https://pergikuliner.com/restaurants/jakarta/the-social-pot-pondok-indah"
"WAKI Japanese BBQ Dining",4.33,"Jepang","Thamrin",,"Jl. Tanjung Karang No. 5 (Lantai 1), Thamrin, Jakarta Pusat",100000,200000,"https://pergikuliner.com/restaurants/jakarta/waki-japanese-bbq-dining-thamrin"
"Roemah Legit",4.41,"Indonesia","Naripan",,"Jl. Embong No. 15, Naripan, Bandung",50000,100000,"https://pergikuliner.com/restaurants/bandung/roemah-legit-naripan"
"Onni House",4.51,"Kafe","Wonokromo",,"Jl. Opak No. 56, Wonokromo, Surabaya",50000,100000,"https://pergikuliner.com/restaurants/surabaya/onni-house-wonokromo"
"Maison Tremel",4.41,"Dessert","Pondok Indah","Pondok Indah Mall 2, Lantai 3","Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan",50000,100000,"https://pergikuliner.com/restaurants/jakarta/maison-tremel-pondok-indah"
